ID,Date,Band,Genus,Species,Sex,Age,Time,Site,Mass,Wing_length,Tail_length,Fat_code,Condition
3D6.1D59AEEA85,9/17/21,A00003305,Calypte,ANHU,F,AHY,9:37:00,SB,4.04,51,NA,0,12.62376238
3D6.1D59AEEABC,9/17/21,A00003306,Calypte,ANHU,F,AHY,9:10:00,SB,3.84,51,NA,0,13.28125
3D6.1D59AEEAB2,9/17/21,A00003307,Archilochus,BCHU,F,HY,9:00:00,SB,4,47,NA,2,11.75
3D6.1D59AEEA8E,9/17/21,A00003308,Archilochus,BCHU,M,HY,8:40:00,SB,3.26,44,NA,0,13.49693252
3D6.1D59AEEAC0,9/17/21,A00003309,Calypte,ANHU,F,AHY,7:32:00,SB,3.73,48,NA,0,12.86863271
3D6.1D59AEEA9C,7/30/21,A00003276,Selasphorus,RUHU,F,HY,9:55:00,SB,3.26,43,NA,2,13.19018405
3D6.1D59AEEA9C,7/30/21,A00003208,Selasphorus,RUHU,F,HY,9:55:00,SB,3.26,43,NA,2,13.19018405
3D6.1D59AEEA97,7/30/21,A00003264,Archilochus,BCHU,F,AHY,9:50:00,SB,3.54,46,NA,0,12.99435028
3D6.1D59AEEACE,7/30/21,NA,Archilochus,BCHU,M,AHY,9:33:00,SB,4.32,43,NA,0,9.953703704
3D6.1D59AEEACE,7/30/21,NA,Archilochus,BCHU,M,AHY,9:33:00,SB,4.32,43,NA,0,9.953703704
3D6.1D59AEEAE0,7/30/21,A00003263,Selasphorus,RUHU,M,HY,9:32:00,SB,3,41.5,NA,0,13.83333333
3D6.1D59AEEB79,7/30/21,NA,Archilochus,BCHU,F,AHY,9:15:00,SB,3.47,47,NA,0,13.54466859
3D6.1D59AEEAD4,7/30/21,A00003262,Archilochus,BCHU,M,AHY,9:00:00,SB,3.03,42,NA,0,13.86138614
3D6.1D59AEEA98,7/30/21,A00003261,Selasphorus,RUHU,M,HY,9:00:00,SB,3.79,0,NA,0,0
3D6.1D59AEEABB,7/30/21,A00003260,Selasphorus,ALHU,M,HY,8:48:00,SB,3.09,40.5,NA,0,13.10679612
3D6.1D59AEEA8C,7/30/21,A00003259,Selasphorus,RUHU,M,HY,8:33:00,SB,4.73,44,NA,5,9.302325581
3D6.1D59AEEB57,7/30/21,NA,Archilochus,BCHU,F,AHY,8:30:00,SB,3.64,45,NA,0,12.36263736
3D6.1D59AEEB52,7/30/21,NA,Archilochus,BCHU,F,AHY,8:25:00,SB,3.27,48.5,NA,0,14.83180428
3D6.1D59AEEAEA,7/30/21,NA,Calypte,ANHU,M,AHY,8:23:00,SB,NA,50.5,NA,0,NA
3D6.1D593E1AFB,7/30/21,NA,Archilochus,BCHU,F,AHY,8:10:00,SB,3.54,45,NA,0,12.71186441
3D6.1D59AEEAE6,7/30/21,A00003258,Archilochus,BCHU,M,HY,8:10:00,SB,3.35,44.5,NA,0,13.28358209
3D6.1D59AEEAA1,7/30/21,A00003257,Selasphorus,RUHU,M,HY,8:05:00,SB,3.22,44,NA,0,13.66459627
3D6.1D59AEEADA,7/30/21,A00003255,Archilochus,BCHU,M,HY,7:55:00,SB,3.03,45,NA,0,14.85148515
3D6.1D59AEEAE3,7/30/21,A00003254,Archilochus,BCHU,F,HY,7:35:00,SB,3.17,45.5,NA,0,14.3533123
3D6.1D59AEEAD5,7/30/21,A00003256,Archilochus,BCHU,F,HY,7:32:00,SB,3.23,48,NA,NA,14.86068111
3D6.1D59AEEADB,7/30/21,A00003253,Calypte,ANHU,F,AHY,7:30:00,SB,3.95,49,NA,NA,12.40506329
3D6.1D59AEEA89,7/30/21,A00003252,Selasphorus,RUHU,M,HY,7:17:00,SB,NA,44,NA,0,NA
3D6.1D59AEEA88,7/30/21,A00003251,Selasphorus,RUHU,F,HY,7:11:00,SB,3.3,44.5,NA,1,13.48484848
3D6.1D59AEEAE2,7/30/21,A00003250,Archilochus,BCHU,F,HY,7:05:00,SB,3.2,48,NA,0,15
3D6.1D59AEEAB1,7/23/21,A00003233,Selasphorus,RUHU,M,HY,10:07:00,SB,3.22,42,NA,2,13.04347826
3D6.1D59AEEAB3,7/23/21,A00003234,Archilochus,BCHU,M,AHY,9:57:00,SB,3.05,41,NA,0,13.44262295
3D6.1D59AEEAAA,7/23/21,A00003237,Calypte,ANHU,F,AHY,9:45:00,SB,2.83,52,NA,0,18.3745583
3D6.1D59AEEAD1,7/23/21,A00003238,Archilochus,BCHU,M,AHY,9:40:00,SB,NA,42,NA,0,NA
3D6.1D593E1CB9,7/23/21,NA,Archilochus,BCHU,F,AHY,9:21:00,SB,3.2,48,NA,NA,15
3D6.1D59AEEAA3,7/23/21,A00003235,Archilochus,BCHU,F,AHY,9:21:00,SB,3.16,47,NA,0,14.87341772
3D6.1D59AEEAAE,7/23/21,A00003239,Archilochus,BCHU,M,AHY,9:02:00,SB,2.92,42,NA,0,14.38356164
3D6.1D59AEEA8F,7/23/21,A00003242,Archilochus,BCHU,F,AHY,8:40:00,SB,NA,46,NA,0,NA
3D6.1D59AEEAB5,7/23/21,A00003241,Calypte,ANHU,F,HY,8:35:00,SB,3.89,48.5,NA,0,12.46786632
3D6.1D59AEEAD6,7/23/21,A00003244,Calypte,ANHU,M,HY,8:20:00,SB,4.08,48,NA,0,11.76470588
3D6.1D59AEEADF,7/23/21,A00003243,Archilochus,BCHU,F,AHY,8:18:00,SB,3.47,47.5,NA,0,13.68876081
3D6.1D59AEEAA6,7/23/21,A00003245,Archilochus,BCHU,M,HY,8:10:00,SB,3.33,46,NA,0,13.81381381
3D6.1D59AEEBA6,7/23/21,NA,Archilochus,BCHU,M,AHY,7:45:00,SB,NA,43,NA,0,NA
3D6.1D59AEEA9B,7/23/21,A00003247,Archilochus,BCHU,M,AHY,7:25:00,SB,3.03,40.5,NA,0,13.36633663
3D6.1D59AEEAAC,7/23/21,A00003248,Selasphorus,ALHU,M,HY,7:15:00,SB,3.23,42,NA,0,13.00309598
3D6.1D59AEEB79,7/16/21,NA,Archilochus,BCHU,F,AHY,10:15:00,SB,3.28,0,NA,0,0
3D6.1D59AEEB87,7/16/21,A00003217,Archilochus,BCHU,F,AHY,10:15:00,SB,3.66,0,NA,NA,0
3D6.1D59AEEB57,7/16/21,NA,Archilochus,BCHU,F,AHY,10:11:00,SB,3.6,0,NA,NA,0
3D6.1D59AEEA87,7/16/21,A00003218,Archilochus,BCHU,M,AHY,10:00:00,SB,2.72,40.5,NA,0,14.88970588
3D6.1D593E1AB2,7/16/21,910070754,Archilochus,BCHU,F,AHY,9:58:00,SB,3.57,0,NA,NA,0
3D6.1D59AEEA92,7/16/21,A00003219,Archilochus,BCHU,F,AHY,9:45:00,SB,3.97,48,NA,0,12.0906801
3D6.1D59AEEAE4,7/16/21,A00003220,Archilochus,BCHU,F,AHY,9:35:00,SB,3.93,46,NA,0,11.70483461
3D6.1D59AEEA84,7/16/21,A00003221,Archilochus,BCHU,F,AHY,9:30:00,SB,3.78,46,NA,1,12.16931217
3D6.1D59AEEACD,7/16/21,A00003222,Archilochus,BCHU,M,HY,9:23:00,SB,2.93,43,NA,0,14.67576792
3D6.1D59AEEADE,7/16/21,NA,Archilochus,BCHU,F,AHY,9:20:00,SB,NA,0,NA,NA,NA
3D6.1D59AEEB7F,7/16/21,NA,Archilochus,BCHU,F,AHY,9:10:00,SB,NA,0,NA,NA,NA
3D6.1D59AEEB57,7/16/21,A00003224,Archilochus,BCHU,F,AHY,9:08:00,SB,3.71,0,NA,0,0
3D6.1D59AEEAB7,7/16/21,A00003223,Archilochus,BCHU,F,AHY,9:02:00,SB,3.38,47,NA,0,13.90532544
3D6.1D59AEEAD3,7/16/21,A00003225,Archilochus,BCHU,F,AHY,8:50:00,SB,3.46,45,NA,0,13.00578035
3D6.1D593E1AB2,7/16/21,910070754,Archilochus,BCHU,F,AHY,8:36:00,SB,3.73,0,NA,NA,0
