Row,ID,Year,Month,Sex,FreqA1,FreqD1,FreqD2,PropA1,PropD1,PropD2
1,X3D6.00184967A1,2017,1,F,116,0,0,1,0,0
33,X3D6.00184967A1,2017,9,F,3,0,0,1,0,0
37,X3D6.00184967A1,2017,10,F,336,0,0,1,0,0
46,X3D6.00184967A1,2017,11,F,287,0,0,1,0,0
49,X3D6.00184967A1,2017,12,F,32,0,0,1,0,0
5,X3D6.00184967A1,2017,9,F,3,0,0,1,0,0
12,X3D6.00184967A1,2016,10,F,111,0,0,1,0,0
18,X3D6.00184967A1,2016,11,F,39,0,0,1,0,0
23,X3D6.00184967A1,2016,12,F,72,0,0,1,0,0
20,X3D6.00184967A3,2016,11,F,2,0,0,1,0,0
6,X3D6.00184967A9,2016,10,M,497,0,0,1,0,0
9,X3D6.00184967AB,2016,10,F,321,0,0,1,0,0
3,X3D6.00184967B0,2017,1,M,15,0,0,1,0,0
8,X3D6.00184967B0,2016,10,M,448,0,0,1,0,0
16,X3D6.00184967B0,2016,11,M,247,0,0,1,0,0
22,X3D6.00184967B0,2016,12,M,124,0,0,1,0,0
13,X3D6.00184967B5,2016,10,F,36,0,0,1,0,0
18,X3D6.00184967B6,2017,7,F,86,0,0,1,0,0
10,X3D6.00184967B6,2016,10,F,4,0,0,1,0,0
32,X3D6.00184967B9,2018,11,F,3,0,0,1,0,0
12,X3D6.00184967B9,2017,6,F,1520,0,0,1,0,0
14,X3D6.00184967B9,2017,7,F,902,0,0,1,0,0
22,X3D6.00184967B9,2017,8,F,277,0,0,1,0,0
31,X3D6.00184967B9,2017,9,F,35,0,0,1,0,0
35,X3D6.00184967B9,2017,10,F,51,0,0,1,0,0
3,X3D6.00184967B9,2017,9,F,35,0,0,1,0,0
19,X3D6.00184967B9,2016,11,F,6,0,0,1,0,0
17,X3D6.00184967BE,2017,7,M,36,0,0,1,0,0
25,X3D6.00184967BE,2017,8,M,13,0,0,1,0,0
27,X3D6.00184967C3,2017,8,M,85,0,0,1,0,0
29,X3D6.00184967C3,2017,9,M,199,0,0,1,0,0
34,X3D6.00184967C3,2017,10,M,793,0,0,1,0,0
43,X3D6.00184967C3,2017,11,M,261,0,0,1,0,0
48,X3D6.00184967C3,2017,12,M,24,0,0,1,0,0
1,X3D6.00184967C3,2017,9,M,199,0,0,1,0,0
7,X3D6.00184967C3,2016,10,M,730,0,0,1,0,0
15,X3D6.00184967C3,2016,11,M,270,0,0,1,0,0
5,X3D6.00184967C4,2017,2,F,6,0,0,1,0,0
7,X3D6.00184967C4,2017,3,F,1,0,0,1,0,0
9,X3D6.00184967C4,2017,4,F,262,0,0,1,0,0
11,X3D6.00184967C4,2017,4,F,262,0,0,1,0,0
39,X3D6.00184967C5,2017,10,M,4,0,0,1,0,0
4,X3D6.00184967CB,2018,1,M,1,0,0,1,0,0
9,X3D6.00184967CB,2018,2,M,429,0,0,1,0,0
14,X3D6.00184967CB,2018,3,M,50,0,0,1,0,0
20,X3D6.00184967CB,2017,7,M,121,0,0,1,0,0
23,X3D6.00184967CB,2017,8,M,297,0,0,1,0,0
30,X3D6.00184967CB,2017,9,M,19,0,0,1,0,0
38,X3D6.00184967CB,2017,10,M,372,0,0,1,0,0
44,X3D6.00184967CB,2017,11,M,31,0,0,1,0,0
53,X3D6.00184967CB,2017,12,M,2,0,0,1,0,0
2,X3D6.00184967CB,2017,9,M,19,0,0,1,0,0
19,X3D6.00184967D2,2017,7,F,7,0,0,1,0,0
2,X3D6.00184967D6,2018,1,F,5,0,0,1,0,0
8,X3D6.00184967D6,2018,2,F,1,0,0,1,0,0
52,X3D6.00184967D6,2017,12,F,2,0,0,1,0,0
15,X3D6.00184967D7,2021,1,M,34,33,17,0.40476,0.39286,0.20238
60,X3D6.00184967D7,2021,2,M,674,292,1716,0.2513,0.10887,0.63982
149,X3D6.00184967D7,2021,3,M,626,59,168,0.73388,0.06917,0.19695
